 Automation Test Engineer ,4 ное., София ,Commerzbank Digital Technology Center,https://dev.bg/company/jobads/commerzbank-digital-technology-center-automation-test-engineer-2/,"[' Automation QA', ' Quality Assurance']"
 Senior Technical QA (Strategic / Consulting Role) ,2 ное., София ,Fourth,https://dev.bg/company/jobads/fourth-senior-technical-qa-strategic-consulting-role/,"[' Automation QA', ' Quality Assurance']"
 Senior Manual QA ,2 ное., София ,Nexo,https://dev.bg/company/jobads/nexo-senior-manual-qa/,"[' Manual QA', ' Quality Assurance']"
 Automation QA Engineer ,2 ное., София ,Object Systems International,https://dev.bg/company/jobads/object-systems-international-automation-qa-engineer-2/,"[' Automation QA', ' Quality Assurance']"
 Automation QA Engineer ,2 ное., София ,Object Systems International,https://dev.bg/company/jobads/object-systems-international-automation-qa-engineer-2-1/,"[' Automation QA', ' Quality Assurance']"
 Senior QA Automation Engineer ,2 ное., София ,GeoWealth Development,https://dev.bg/company/jobads/geowealth-development-senior-qa-automation-engineer/,"[' Automation QA', ' Quality Assurance']"
 Senior Automation QA For Full Cloud Based Solution ,2 ное., София ,Proxiad Bulgaria,https://dev.bg/company/jobads/proxiad-senior-automation-qa-for-migration-of-a-monolithic-application-to-a-microservice-architecture-project/,"[' Automation QA', ' Quality Assurance']"
 Automation QA Engineer ,1 ное., София ,SiteGround,https://dev.bg/company/jobads/siteground-automation-qa-engineer-2/,"[' Automation QA', ' Quality Assurance']"
 Software QA Engineer ,21 окт., София ,Coherent Solutions,https://dev.bg/company/jobads/coherent-solutions-software-qa-engineer/,"[' Automation QA', ' Quality Assurance']"
 QA Automation Engineer (Platform Data & Services) ,14 окт., София ,Fourth,https://dev.bg/company/jobads/fourth-qa-automation-engineer-platform-data-services/,"[' Automation QA', ' Quality Assurance']"
 QA Инженер / Quality Assurance Engineer ,5 ное., Русе ,Ucha.se / Уча.се,https://dev.bg/company/jobads/ucha-se-qa-inzhener-quality-assurance-engineer-1/,"[' Manual QA', ' Quality Assurance']"
 QA Automation Architect ,5 ное., София ,UpSkill,https://dev.bg/company/jobads/upskill-qa-automation-architect/,"[' Automation QA', ' Quality Assurance']"
 QA Engineer ,5 ное., София ,NATEK,https://dev.bg/company/jobads/natek-qa-engineer/,"[' Automation QA', ' Quality Assurance']"
 QA Automation Engineer ,5 ное., София ,Axilion Bulgaria,https://dev.bg/company/jobads/axilion-qa-automation-engineer-6/,"[' Automation QA', ' Quality Assurance']"
 Automation QA ,5 ное., София ,Anthill,https://dev.bg/company/jobads/anthill-qa/,"[' Automation QA', ' Quality Assurance']"
 Automation Quality Engineer ,5 ное., София ,Strypes,https://dev.bg/company/jobads/strypes-automation-quality-engineer-1/,"[' Automation QA', ' Quality Assurance']"
 System Implementer & QA Analyst ,5 ное., София ,Via Engineering,https://dev.bg/company/jobads/via-engineering-qa-analyst-system-implementer/,"[' Automation QA', ' Quality Assurance']"
 From Manual to Automation QA ,5 ное., Русе ,MentorMate,https://dev.bg/company/jobads/mentormate-from-manual-to-automation-qa-1-1-1/,"[' Automation QA', ' Quality Assurance']"
 Mid-level Manual QA ,5 ное., София ,SmartIT,https://dev.bg/company/jobads/smartit-mid-level-manual-qa-2/,"[' Manual QA', ' Quality Assurance']"
 Automated QA developer Python/Golang (Platform team) ,5 ное., София ,Acronis,https://dev.bg/company/jobads/acronis-automated-qa-developer-python-golang-platform-team/,"[' Automation QA', ' Quality Assurance']"
 QA Automation Engineer ,5 ное., Варна ,Immedis,https://dev.bg/company/jobads/immedis-qa-automation-engineer/,"[' Automation QA', ' Quality Assurance']"
 SOFTWARE DEVELOPER IN TEST ,5 ное.,  Remote,Sixty K Plc – International Contacts Centres (60K),https://dev.bg/company/jobads/sixty-k-plc-software-developer-in-test/,"[' Automation QA', ' Quality Assurance']"
 Quality Assurance Specialist ,5 ное., Варна ,CSoft,https://dev.bg/company/jobads/csoft-quality-assurance-specialist-2/,"[' Automation QA', ' Quality Assurance']"
 Senior QA Engineer ,5 ное., София ,SiteGround,https://dev.bg/company/jobads/siteground-senior-qa-engineer-3/,"[' Automation QA', ' Quality Assurance']"
 Software Quality Assurance Engineer (Salesforce & Business Systems) ,5 ное., София ,Acronis,https://dev.bg/company/jobads/acronis-software-quality-assurance-engineer-salesforce-business-systems/,"[' Automation QA', ' Quality Assurance']"
 QA Automation Engineer ,5 ное., София ,QaiWare,https://dev.bg/company/jobads/qaiware-ltd-qa-automation-engineer/,"[' Automation QA', ' Quality Assurance']"
 Quality Assurance Engineer ,5 ное.,  Remote,LEAD Consult,https://dev.bg/company/jobads/lead-consult-quality-assurance-engineer/,"[' Manual QA', ' Quality Assurance']"
" Test Automation Lead Engineer, Commercial ",5 ное.,  Remote,Coca-Cola HBC,https://dev.bg/company/jobads/coca-cola-hbc-test-automation-lead-engineer-commercial-2/,"[' Automation QA', ' Quality Assurance']"
 Manual QA Engineer ,5 ное., София ,BULPROS,https://dev.bg/company/jobads/bulpros-manual-qa-engineer/,"[' Manual QA', ' Quality Assurance']"
 Manual QA Engineer (Acronis Cyber Protect) ,5 ное., София ,Acronis,https://dev.bg/company/jobads/manual-qa-engineer-acronis-cyber-protect/,"[' Manual QA', ' Quality Assurance']"
" Test Automation Lead Engineer, Commercial ",5 ное., София ,Coca-Cola HBC,https://dev.bg/company/jobads/coca-cola-hbc-test-automation-lead-engineer-commercial/,"[' Automation QA', ' Quality Assurance']"
 Intern QA Automation Engineer ,5 ное., София ,Automate The Planet,https://dev.bg/company/jobads/automate-the-planet-intern-qa-automation-engineer/,"[' Automation QA', ' Junior / Intern', ' Quality Assurance']"
" Senior QA Automation Engineer, ML ",5 ное., София ,Hyperscience,https://dev.bg/company/jobads/hyperscience-senior-qa-automation-engineer-ml/,"[' Automation QA', ' Quality Assurance']"
 Senior Software Test Engineer ,5 ное., София ,SiteGround,https://dev.bg/company/jobads/siteground-senior-software-engineer-in-test/,"[' Automation QA', ' Quality Assurance']"
 JUNIOR IMAGE QUALITY ENGINEER ,5 ное., София ,MM Solutions,https://dev.bg/company/jobads/mm-solutions-junior-image-quality-engineer/,"[' Automation QA', ' Junior / Intern', ' Quality Assurance']"
 Senior QA Automation Specialist ,5 ное., София ,Nuvei,https://dev.bg/company/jobads/nuvei-senior-qa-automation-specialist/,"[' Automation QA', ' Quality Assurance']"
 Junior QA Engineer ,5 ное., София ,Documaster,https://dev.bg/company/jobads/documaster-junior-qa-engineer/,"[' Junior / Intern', ' Manual QA', ' Quality Assurance']"
 Quality Assurance Engineer ,5 ное., София ,Americaneagle.com,https://dev.bg/company/jobads/americaneagle-com-qa-engineer-3/,"[' Manual QA', ' Quality Assurance']"
 QA Engineer ,5 ное., София ,Cobuilder,https://dev.bg/company/jobads/cobuilder-qa-engineer-3/,"[' Automation QA', ' Quality Assurance']"
 QA Project Lead ,4 ное., София ,Experian,https://dev.bg/company/jobads/experian-qa-project-lead/,"[' Automation QA', ' Quality Assurance']"
 Junior Quality Assurance / QA Engineer ,4 ное., София ,AdHash,https://dev.bg/company/jobads/adhash-junior-quality-assurance-qa-engineer/,"[' Junior / Intern', ' Quality Assurance']"
 Quality Assurance / QA Intern ,4 ное., София ,AdHash,https://dev.bg/company/jobads/adhash-quality-assurance-qa-intern/,"[' Junior / Intern', ' Quality Assurance']"
