 Junior Golang Engineer for Analytics Platform ,13 окт., София ,VMware Bulgaria,https://dev.bg/company/jobads/vmware-bulgaria-junior-golang-engineer-for-analytics-platform/,"[' Backend Development', ' Go', ' Junior / Intern']"
 Java Developer ,13 окт., София ,Modis Bulgaria,https://dev.bg/company/jobads/modis-bulgaria-java-developer/,"[' Backend Development', ' Java']"
 Full Stack Web Developer ,13 окт.,  Remote,Modis Bulgaria,https://dev.bg/company/jobads/modis-bulgaria-full-stack-web-developer/,"[' Fullstack Development', ' JavaScript', ' Node.js', ' React']"
" Full Stack Developer with Java / Angular, Cloud Management ",12 окт., София ,VMware Bulgaria,https://dev.bg/company/jobads/vmware-bulgaria-full-stack-developer-with-java-angular-cloud-management/,"[' Angular', ' Fullstack Development', ' Java', ' JavaScript']"
 Full Stack Software Developer ,12 окт., София ,Infragistics,https://dev.bg/company/jobads/infragistics-full-stack-software-developer/,"[' .NET', ' Fullstack Development', ' JavaScript']"
 Senior Backend Engineer ,11 окт., София ,Insurify,https://dev.bg/company/jobads/insurify-senior-backend-engineer/,"[' Backend Development', ' Python']"
 Unity Developer ,11 окт., София ,AUG GLOBAL,https://dev.bg/company/jobads/aug-global-unity-developer-2/,"[' .NET', ' Backend Development']"
 PHP DEVELOPER ,8 окт., София ,Bulwork,https://dev.bg/company/jobads/bulwork-php-developer-2/,"[' Backend Development', ' PHP']"
 Node.js Developer ,8 окт., София ,Bulwork,https://dev.bg/company/jobads/bulwork-node-js-developer-2/,"[' Backend Development', ' Node.js']"
" Java Developer, Online Retailer ",7 окт., София ,DataArt,https://dev.bg/company/jobads/dataart/,"[' Backend Development', ' Java']"
