 Senior Game Developer ,5 ное., Варна ,7Mojos,https://dev.bg/company/jobads/7mojos-senior-web-game-developer/,"[' Frontend Development', ' JavaScript']"
 Experienced Game Developer ,5 ное., Варна ,7Mojos,https://dev.bg/company/jobads/7mojos-experienced-web-game-developer/,"[' Frontend Development', ' JavaScript']"
 Lead Javascript Developer ,5 ное.,  Remote,Infoleven,https://dev.bg/company/jobads/infoleven-lead-javascript-developer/,"[' Fullstack Development', ' JavaScript', ' Node.js', ' React']"
 JavaScript Software Engineer ,5 ное.,  Remote,Cortlex,https://dev.bg/company/jobads/cortlex-javascript-software-engineer/,"[' Frontend Development', ' JavaScript']"
 Front-End Developer ( Angular) ,4 ное., София ,Coherent Solutions,https://dev.bg/company/jobads/coherent-solutions-front-end-developer-angular/,"[' Angular', ' Frontend Development', ' JavaScript']"
 Senior React Developer ,4 ное., София ,Documaster,https://dev.bg/company/jobads/documaster-senior-react-developer-2/,"[' Frontend Development', ' JavaScript', ' React']"
 PHP FULL-STACK DEVELOPER ,3 ное.,  Remote,Bulwork,https://dev.bg/company/jobads/bulwork-php-full-stack-developer/,"[' Fullstack Development', ' JavaScript', ' PHP']"
 Full Stack Software Developer ,3 ное.,  Remote,Chaos,https://dev.bg/company/jobads/chaos-group-full-stack-software-developer/,"[' Fullstack Development', ' Go', ' JavaScript', ' React']"
 FRONT-END DEVELOPER ,3 ное., Пловдив ,Bulwork,https://dev.bg/company/jobads/bulwork-front-end-developer-1-1-1/,"[' Frontend Development', ' JavaScript', ' React']"
 FRONT-END DEVELOPER ,3 ное.,  Remote,Bulwork,https://dev.bg/company/jobads/bulwork-front-end-developer-1-1-1-1/,"[' Frontend Development', ' JavaScript']"
 React Native Developer ,2 ное., София ,Nexo,https://dev.bg/company/jobads/nexo-react-native-developer/,"[' Frontend Development', ' JavaScript']"
 SENIOR FRONT-END DEVELOPER ,2 ное., София ,Cognyte (formerly a Verint company),https://dev.bg/company/jobads/cognyte-senior-front-end-developer/,"[' Frontend Development', ' JavaScript']"
 BLOCKCHAIN INTELLIGENCE – Full stack senior developer ,2 ное., София ,Cognyte (formerly a Verint company),https://dev.bg/company/jobads/cognyte-blockchain-intelligence-full-stack-senior-developer/,"[' Fullstack Development', ' JavaScript', ' React']"
 BLOCKCHAIN INTELLIGENCE – Full stack team leader ,2 ное., София ,Cognyte (formerly a Verint company),https://dev.bg/company/jobads/cognyte-blockchain-intelligence-full-stack-team-leader/,"[' Fullstack Development', ' JavaScript']"
 Senior Front-end (Angular) Developer ,2 ное., София ,Tarya Fintech Bulgaria,https://dev.bg/company/jobads/tarya-fintech-senior-front-end-angular-developer-2/,"[' Angular', ' Frontend Development', ' JavaScript']"
 WEB DEVELOPER ,2 ное.,  Remote,AXSMarine,https://dev.bg/company/jobads/axsmarine-web-developer-2/,"[' Fullstack Development', ' JavaScript', ' PHP']"
 Angular Developer ,2 ное., София ,Object Systems International,https://dev.bg/company/jobads/object-systems-international-angular-developer/,"[' Angular', ' Frontend Development', ' JavaScript']"
 Senior React Developer ,2 ное., София ,GeoWealth Development,https://dev.bg/company/jobads/geowealth-development-senior-react-developer/,"[' Frontend Development', ' JavaScript', ' React']"
 React Native Developer ,2 ное., София ,AMPECO,https://dev.bg/company/jobads/ampeco-hybrid-mobile-app-developer-with-react-native/,"[' Android Development', ' iOS Development', ' Mobile Development', ' React']"
 Senior React Developer – Project Lead ,2 ное.,  Remote,Despark,https://dev.bg/company/jobads/despark2-despark-senior-react-developer-2/,"[' Frontend Development', ' JavaScript', ' React']"
 Senior Full Stack Web Developer (PHP/Laravel) ,1 ное., София ,NEG.BG,https://dev.bg/company/jobads/neg-bg-senior-full-stack-web-developer/,"[' Fullstack Development', ' JavaScript', ' PHP']"
 Senior WordPress Developer ,1 ное., София ,SiteGround,https://dev.bg/company/jobads/siteground-senior-wordpress-developer-2/,"[' Fullstack Development', ' JavaScript', ' PHP']"
 JavaScript Engineer – React ,1 ное., София ,SiteGround,https://dev.bg/company/jobads/siteground-javascript-engineer-react/,"[' Frontend Development', ' JavaScript', ' React']"
 Web Developer ,1 ное., София ,SiteGround,https://dev.bg/company/jobads/siteground-web-developer-3/,"[' Fullstack Development', ' JavaScript', ' PHP']"
 Software Engineer: React ,1 ное.,  Remote,Chargebackhelp,https://dev.bg/company/jobads/chargebackhelp-software-engineer-react/,"[' Frontend Development', ' JavaScript', ' React']"
 REACT JS DEVELOPER ,29 окт., София ,DHL Freight Enterprise Software Solutions,https://dev.bg/company/jobads/dhl-freight-enterprise-software-solutions-dhl-enterprise-software-solutions-react-js-developer/,"[' Frontend Development', ' JavaScript', ' React']"
" Full-Stack Developer (Node.js, Angular) ",25 окт., София ,Lab08,https://dev.bg/company/jobads/lab08-full-stack-developer-4/,"[' Angular', ' Fullstack Development', ' JavaScript', ' Node.js']"
 Senior Fullstack Developer (Node.js + Angular/React) ,25 окт., София ,AUG GLOBAL,https://dev.bg/company/jobads/aug-global-senior-fullstack-developer-node-js-angular-react/,"[' Angular', ' Fullstack Development', ' JavaScript', ' Node.js', ' React']"
 JavaScript Developer ,21 окт., София ,Fourth,https://dev.bg/company/jobads/fourth-javascript-developer-3/,"[' Frontend Development', ' JavaScript']"
 Lead Front end Developer ,20 окт., София ,Coherent Solutions,https://dev.bg/company/jobads/coherent-solutions-lead-front-end-developer/,"[' Frontend Development', ' JavaScript']"
